DateTime,TimeSSM,Status,DataStatus,PartCt,HistSum,PartCon,BL,BLTH,STD,MaxSTD,P,TofP, PumpLife_hrs,WidthSTD,AveWidth, POPS_Flow, PumpFB, LDTemp, LaserFB, LD_Mon, Temp, BatV, Laser_Current, Flow_Set,BL_Start,TH_Mult,nbins,logmin,logmax,Skip_Save,MinPeakPts,MaxPeakPts,RawPts,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
1688689856.136,1856.1359,3,2,116,116,0.00,2502,2550,16.18,17.43,978.04,32.87,341.47,0.00,0.00,-0.02,143.74,37.16,616.26,975.82,27.60,11.34,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,7,21,18,15,14,28,5,6,2,0,0,0,0,0,0,0
1688689857.137,1857.1370,3,0,405,405,96.26,2502,2548,15.19,18.18,978.12,32.88,341.47,12.86,26.87,4.21,371.87,37.22,615.38,990.33,27.63,11.33,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,37,56,77,68,72,51,35,7,0,2,0,0,0,0,0,0
1688689858.137,1858.1370,3,0,380,380,131.57,2500,2546,15.30,17.71,978.07,32.87,341.47,14.02,26.95,2.89,321.76,37.22,614.07,990.33,27.55,11.36,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,22,59,70,70,55,55,39,6,3,1,0,0,0,0,0,0
1688689859.137,1859.1369,3,0,340,340,116.24,2498,2543,15.08,17.79,978.04,32.88,341.47,16.48,32.72,2.93,333.63,37.28,614.95,991.65,27.65,11.33,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,21,56,72,57,52,44,28,4,1,0,1,2,1,1,0,0
1688689860.134,1860.1340,3,0,336,336,110.79,2500,2545,15.21,18.46,978.08,32.88,341.47,17.28,32.43,3.03,337.58,37.33,614.51,992.97,27.60,11.34,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,16,54,58,59,60,50,28,5,3,0,2,1,0,0,0,0
1688689861.134,1861.1343,3,0,357,357,128.64,2498,2546,15.85,17.67,978.03,32.88,341.47,15.06,30.30,2.78,338.90,37.39,614.51,993.41,27.97,11.34,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,16,59,73,66,65,40,32,4,1,0,0,1,0,0,0,0
1688689862.134,1862.1335,3,0,356,356,118.93,2497,2543,15.12,17.73,978.06,32.88,341.47,15.52,30.89,2.99,340.66,37.49,613.19,993.41,27.65,11.34,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,27,63,71,58,43,57,27,6,2,0,1,0,0,0,1,0
1688689863.134,1863.1338,3,0,338,338,114.32,2494,2541,15.51,17.82,978.09,32.88,341.47,14.75,29.31,2.96,341.10,37.54,613.63,994.73,27.63,11.33,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,18,71,62,53,59,45,21,6,2,1,0,0,0,0,0,0
1688689864.137,1864.1370,3,0,342,342,117.66,2496,2541,14.93,18.16,978.06,32.89,341.47,15.08,30.51,2.91,341.10,37.56,612.75,993.85,27.60,11.34,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,26,61,62,55,47,55,31,2,0,2,0,0,1,0,0,0
1688689865.134,1865.1336,3,0,324,324,110.07,2496,2541,15.20,18.15,978.04,32.89,341.47,15.86,30.12,2.94,343.74,37.64,612.75,996.04,27.65,11.36,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,24,52,58,60,47,52,24,5,1,0,0,0,1,0,0,1
1688689866.134,1866.1336,3,0,345,345,118.16,2497,2542,15.02,17.57,978.06,32.89,341.47,14.07,29.23,2.92,344.62,37.64,612.75,996.04,27.73,11.35,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,17,62,65,49,43,61,39,4,2,1,2,0,0,0,0,0
1688689867.137,1867.1371,3,0,339,339,115.48,2495,2542,15.78,17.81,978.05,32.89,341.47,14.56,30.70,2.94,344.18,37.72,612.31,997.36,27.73,11.34,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,21,61,63,50,58,52,28,4,0,1,1,0,0,0,0,0
1688689868.137,1868.1371,3,0,347,347,119.60,2494,2537,14.36,18.17,978.09,32.89,341.47,15.84,29.77,2.90,344.62,37.78,612.75,996.48,27.68,11.34,2.87,2.65,30000,3.0,16,1.75,4.81,0,8,255,512,32,69,63,65,46,37,29,5,0,1,0,0,0,0,0,0
