,Lower Amp,Upper Amp,Lower Bin Diameter,Upper Bin Diameter,Mean Diameter (nm),Bin Header
0,7.430191378967014,11.769282841042024,120.02534238459909,130.81808576693462,125.42171407576686,120.03_130.82
1,11.769282841042024,18.64232178252499,130.81808576693462,143.19879798836885,137.00844187765173,130.82_143.2
2,18.64232178252499,29.52908568322213,143.19879798836885,157.78200844678258,150.4904032175757,143.2_157.78
3,29.52908568322213,46.77351412871981,157.78200844678258,175.575915384128,166.6789619154553,157.78_175.58
4,46.77351412871981,74.08836316231077,175.575915384128,198.07584605405285,186.82588071909043,175.58_198.08
5,74.08836316231077,117.35456824912899,198.07584605405285,227.16840974709208,212.62212790057248,198.08_227.17
6,117.35456824912899,185.88742011708283,227.16840974709208,270.1455910688475,248.6570004079698,227.17_270.15
7,185.88742011708283,294.4421633798763,270.1455910688475,351.0876729189859,310.6166319939167,270.15_351.09
8,294.4421633798763,466.3908268844408,351.0876729189859,479.9974366200871,415.54255476953654,351.09_480.0
9,466.3908268844408,738.7542629936365,479.9974366200871,576.9772733308209,528.4873549754541,480.0_576.98
10,738.7542629936365,1170.1728027907702,576.9772733308209,687.5987946080525,632.2880339694367,576.98_687.6
11,1170.1728027907702,1853.5316234148124,687.5987946080525,905.1751445188306,796.3869695634415,687.6_905.18
12,1853.5316234148124,2935.9590915163635,905.1751445188306,1193.7138631237092,1049.4445038212698,905.18_1193.71
13,2935.9590915163635,4650.503761666063,1193.7138631237092,1720.6247212289716,1457.1692921763404,1193.71_1720.62
14,4650.503761666063,7366.310143681267,1720.6247212289716,2324.7986640080594,2022.7116926185154,1720.62_2324.8
15,7366.310143681267,11668.09617060963,2324.7986640080594,3000.027121812523,2662.4128929102912,2324.8_3000.03
