d_nm,amp_scale
100,19.15476752
100.0782867,19.15508982
100.1566348,19.15605672
100.2350441,19.15766824
100.3135149,19.1599244
100.3920471,19.16282524
100.4706407,19.16637079
100.5492959,19.17056112
100.6280127,19.17539629
100.7067911,19.18087637
100.7856311,19.18700145
100.8645329,19.19377162
100.9434965,19.20118697
101.0225218,19.20924764
101.1016091,19.21795373
101.1807582,19.22730538
101.2599693,19.23730273
101.3392425,19.24794594
101.4185777,19.25923516
101.497975,19.27117058
101.5774344,19.28375236
101.6569561,19.29698071
101.73654,19.31085582
101.8161862,19.32537791
101.8958948,19.34054719
101.9756658,19.35636389
102.0554992,19.37282827
102.1353951,19.38994056
102.2153536,19.40770103
102.2953746,19.42610995
102.3754584,19.44516759
102.4556048,19.46487426
102.5358139,19.48523024
102.6160859,19.50623584
102.6964206,19.52789139
102.7768183,19.55019722
102.8572789,19.57315365
102.9378026,19.59676105
103.0183892,19.62101977
103.0990389,19.64593018
103.1797518,19.67149265
103.2605279,19.69770757
103.3413672,19.72457535
103.4222698,19.75209638
103.5032357,19.78027109
103.584265,19.8090999
103.6653577,19.83858324
103.746514,19.86872158
103.8277337,19.89951535
103.9090171,19.93096503
103.9903641,19.9630711
104.0717747,19.99583403
104.1532491,20.02925432
104.2347873,20.06333249
104.3163893,20.09806904
104.3980552,20.13346449
104.4797851,20.16951939
104.5615789,20.20623428
104.6434367,20.2436097
104.7253587,20.28164623
104.8073447,20.32034444
104.889395,20.35970491
104.9715095,20.39972824
105.0536882,20.44041502
105.1359314,20.48176587
105.2182388,20.52378141
105.3006108,20.56646228
105.3830472,20.60980911
105.4655481,20.65382256
105.5481137,20.69850328
105.6307439,20.74385196
105.7134387,20.78986926
105.7961983,20.83655588
105.8790227,20.88391253
105.961912,20.9319399
106.0448661,20.98063872
106.1278852,21.03000972
106.2109692,21.08005364
106.2941183,21.13077122
106.3773325,21.18216323
106.4606119,21.23423043
106.5439564,21.2869736
106.6273662,21.34039353
106.7108413,21.39449101
106.7943817,21.44926686
106.8779876,21.50472188
106.9616588,21.56085691
107.0453956,21.61767278
107.129198,21.67517033
107.213066,21.73335043
107.2969996,21.79221393
107.3809989,21.85176171
107.465064,21.91199466
107.5491949,21.97291367
107.6333916,22.03451964
107.7176543,22.09681348
107.8019829,22.15979612
107.8863776,22.22346849
107.9708383,22.28783154
108.0553652,22.35288621
108.1399582,22.41863346
108.2246174,22.48507428
108.309343,22.55220963
108.3941348,22.6200405
108.478993,22.68856791
108.5639177,22.75779285
108.6489089,22.82771634
108.7339666,22.89833942
108.8190908,22.96966312
108.9042817,23.04168849
108.9895394,23.11441659
109.0748637,23.18784848
109.1602549,23.26198525
109.2457129,23.33682797
109.3312378,23.41237774
109.4168296,23.48863566
109.5024885,23.56560286
109.5882144,23.64328046
109.6740075,23.72166958
109.7598677,23.80077138
109.8457951,23.880587
109.9317898,23.9611176
110.0178518,24.04236437
110.1039812,24.12432848
110.190178,24.20701112
110.2764423,24.29041348
110.3627741,24.37453679
