d_nm,amp_scale
100,3.803769858
100.0782867,3.803832617
100.1566348,3.804020896
100.2350441,3.804334698
100.3135149,3.804774026
100.3920471,3.805338889
100.4706407,3.806029294
100.5492959,3.806845254
100.6280127,3.807786779
100.7067911,3.808853885
100.7856311,3.810046589
100.8645329,3.811364909
100.9434965,3.812808865
101.0225218,3.814378479
101.1016091,3.816073777
101.1807582,3.817894783
101.2599693,3.819841528
101.3392425,3.82191404
101.4185777,3.824112352
101.497975,3.826436497
101.5774344,3.828886513
101.6569561,3.831462436
101.73654,3.834164307
101.8161862,3.836992168
101.8958948,3.839946062
101.9756658,3.843026035
102.0554992,3.846232135
102.1353951,3.849564411
102.2153536,3.853022916
102.2953746,3.856607701
102.3754584,3.860318824
102.4556048,3.864156341
102.5358139,3.868120312
102.6160859,3.872210799
102.6964206,3.876427863
102.7768183,3.880771571
102.8572789,3.88524199
102.9378026,3.889839189
103.0183892,3.894563239
103.0990389,3.899414212
103.1797518,3.904392185
103.2605279,3.909497233
103.3413672,3.914729436
103.4222698,3.920088875
103.5032357,3.925575631
103.584265,3.931189791
103.6653577,3.93693144
103.746514,3.942800667
103.8277337,3.948797562
103.9090171,3.954922219
103.9903641,3.961174732
104.0717747,3.967555196
104.1532491,3.974063711
104.2347873,3.980700376
104.3163893,3.987465295
104.3980552,3.99435857
104.4797851,4.001380308
104.5615789,4.008530618
104.6434367,4.015809609
104.7253587,4.023217393
104.8073447,4.030754085
104.889395,4.038419799
104.9715095,4.046214655
105.0536882,4.054138771
105.1359314,4.06219227
105.2182388,4.070375275
105.3006108,4.078687911
105.3830472,4.087130307
105.4655481,4.095702593
105.5481137,4.104404898
105.6307439,4.113237358
105.7134387,4.122200106
105.7961983,4.131293282
105.8790227,4.140517023
105.961912,4.149871472
106.0448661,4.159356771
106.1278852,4.168973066
106.2109692,4.178720503
106.2941183,4.188599232
106.3773325,4.198609404
106.4606119,4.208751172
106.5439564,4.21902469
106.6273662,4.229430116
106.7108413,4.239967609
106.7943817,4.250637329
106.8779876,4.261439438
106.9616588,4.272374103
107.0453956,4.283441488
107.129198,4.294641764
107.213066,4.3059751
107.2969996,4.317441669
107.3809989,4.329041645
107.465064,4.340775205
107.5491949,4.352642528
107.6333916,4.364643793
107.7176543,4.376779183
107.8019829,4.389048882
107.8863776,4.401453076
107.9708383,4.413991954
108.0553652,4.426665706
108.1399582,4.439474523
108.2246174,4.452418599
108.309343,4.465498132
108.3941348,4.478713317
108.478993,4.492064357
108.5639177,4.505551451
