d_nm,d,amp
102.782685284113,102.782685284113,18.33214611975968
109.00646212994737,109.00646212994737,20.906182215063854
115.15571365829902,115.15571365829902,24.19705073759831
122.13058826776263,122.13058826776263,28.98834785950638
129.52593433532175,129.52593433532175,35.4698629633299
137.37119986285964,137.37119986285964,44.12230612910282
146.8360610678739,146.8360610678739,57.15533264732037
157.57070257426767,157.57070257426767,75.4440497620227
169.75552899380935,169.75552899380935,100.45311264298356
183.59947008193788,183.59947008193788,133.67871517499543
200.1352868256517,200.1352868256517,179.6306891541301
220.73931996360304,220.73931996360304,247.64460632344597
248.28526309748324,248.28526309748324,345.47824784333505
300.86428901272535,300.86428901272535,443.10170487584315
388.1697293990373,388.1697293990373,663.0231969433113
474.0739739924265,474.0739739924265,865.8242497173742
541.6601122949095,541.6601122949095,1278.7353858837923
628.6618353142621,628.6618353142621,1849.4035285813125
798.4700294276564,798.4700294276564,2345.663686425622
1067.1718265952352,1067.1718265952352,3221.231494663545
1366.1151176747546,1366.1151176747546,4600.147630757205
1623.273827706567,1623.273827706567,6288.78105040755
1898.833025833639,1898.833025833639,8556.75942684171
2337.2722461732965,2337.2722461732965,11648.033670763503
2799.100815439241,2799.100815439241,16370.040435717898
3365.375205494213,3365.375205494213,22717.029285380897
4046.1480305560285,4046.1480305560285,33173.717837288634
4604.934646397607,4604.934646397607,42484.84983150104
